Festival Name,Start Date,End Date,2027 Dates (if applicable),Location,Type,Website,Organiser/Contact ,Contact email ,Contact Phone,Email sent?
"Campfire, S'mores & More at Weavers Way farm - Awbury",12/6/2025,,,"6336 Ardleigh St, Philadelphia, PA 19138",community,https://awbury.org/events-calendar/,Weavers Way Co-op,feedback@weaversway.coop,215-843-2350,FALSE
Handmade Holidays at Bartram's Garden ,12/6/2025,,,"5400 Lindbergh Blvd, Philadelphia, PA 19143",market,https://www.instagram.com/p/DRho139jlsL/?igsh=eXJpeWxya3ZkdHRx,Bartram’s Garden,info@bartramsgarden.org,215-729-5281,FALSE
Happy Holidays from Rox,12/6/2025,,,"6116 Ridge Ave, Philadelphia, PA 19128",holiday,,Roxborough Development Corporation,info@roxboroughpa.com,215-508-2358,FALSE
Hometown Holiday Festival ,12/6/2025,,,"24 West Broad Street, Souderton, PA 18964, USA",holiday,https://www.instagram.com/p/DRho139jlsL/?igsh=eXJpeWxya3ZkdHRx,insta handle: @hometownholidayphilly,,,FALSE
Santa Stroll Winter Block Party ,12/6/2025,,,"700 N 2nd St, Philadelphia, PA 19123",Block Parties,https://www.eventbrite.com/e/santa-stroll-winter-block-party-tickets-1976169356743?aff=eivtefrnd&utm_share_source=listing_android&sg=e7f10580d10c3678b5d48dac2aa5830cfa6f1d008c9d00ff5f76ad92351189f1e63221746e1e4bc908ab1ad56fb4bace095e30ed8eebb6f20363d8c7f5191f4ead1db5f74d70dd8d8b7318,,,,FALSE
Wine Wonderland 2025 3rd Annual Winterfest ,12/7/2025,,,"Likely Evansburg Vineyards, 1175 County Line Rd, Collegeville, PA 19426",Food & Drink,https://www.facebook.com/share/15jkKN8PLE/,Evansburg Vineyards,operations@evansburgvineyards.com,(484) 902-8435,FALSE
Three Kings Day Celebration,1/7/2026,,,"141 E. Hunting Park Ave, Philadelphia, PA 19124",Seasonal,https://elconcilio.net/event/three-kings-day/,El Concilio,concilioculturalevents@elconcilio.net,,FALSE
Fancy Brigade Serenade,1/17/2026,,,"1100 S 2nd Street, Philadelphia, PA 19147",Seasonal,https://www.fancybrigadeassociation.com/,Fancy Brigade Association,admin@fancybrigadeassociation.com,(267) 888-7348,FALSE
31st Annual Greater Philadelphia Martin Luther King Jr. Day of Service,1/19/2026,,1/18/2027,Citywide / Temple University’s Pearson/McGonigle Hall,Seasonal,https://mlkdayofservice.org/,Global Citizen 365,support@globalcitizen365.org,215-259-8374,FALSE
Villain Arts Tattoo Festival ,1/23/2026,1/25/2026,1/08/27 - 1/10/27,"Pennsylvania Convention Center, 1101 Arch St, Philadelphia, PA 19107",Multi-Genre,https://villainarts.com/shows/philadelphia-pa/?mc_cid=96d4dbe58e&mc_eid=80d5eb6751,Villian Arts,info@villianarts.com,215-423-4780,FALSE
Philly Chocolate Wine Whiskey Fest,1/24/2026,,1/23/2027,"Greater Philadelphia Expo Center, 100 Station Avenue, Oaks, PA 19456",Food & Drink,https://chocolatewinewhiskey.com/city-events/philly-chocolate-wine-whiskey-festival/ ,Charlie Adler,info@tasteusafestivals.com / taste@tasteusa.com,202-870-1163,FALSE
CultureFest! Lunar New Year,1/31/2026,,,"3260 South Street Philadelphia, PA 19104",Cultural Heritage,https://almanac.upenn.edu/articles/penn-museum-hosts-45th-annual-culturefest-lunar-new-year,Penn Museum,events@pennmuseum.org,215-898-2680,FALSE
Founders Philly Freeze Out,1/31/2026,,,"106 Grape Street, Philadelphia, PA 19127",Street Fairs,https://manayunk.com/mnyk-events/founders-philly-freeze-out/?fbclid=IwdGRzaAPrH2ljbGNrA-sfKmV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHqHIuqY-2Ma0P9XRwlGx1-THVWtBdBmjXUb8MNbGuceW9CAERz0ukIezH-Ue_aem_c1Mi-KscZ1IGjUfOM1mIIg&sfnsn=mo,Founders Brewing Company & Manayunk Development Corporation (MDC),cmarsilii@manayunk.org,(267) 270-3075,FALSE
